"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I3H0000[00100]","I3H0000[00200]","I3H0000[00300]","I3H0000[00400]","I3H0000[00500]","I3H0000[00600]","I3H0000[00700]","I3H0000[00800]","I3H0000[00900]","I3H0000[01000]", , , , , , , , , 
 ,"192169","6441", , ,"62557", , , ,"261167","1030529", , , , , , , , , 
 , , ,"1", , , , , , , , , , , , , , , , 
 ,"2750","2750","2750","2750","2750","2750","2750","2750", , , , , , , , , , , 
 ,"10305","10305","10305","10305","10305","10305","10305","10305", , , , , , , , , , , 
 ,"13055","13055","13056","13055","13055","13055","13055","13055", ,"261167", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I4D0010[00100]","I4D0010[00200]","I4D0010[00300]", ,"I4D0010[00500]", , , , , , , , , , , , , , 
 ,"51802","11685810","226", ,"9684128", , , , , , , , , , , , , , 
 ,"10255","2313385","226", , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"62057","13999195", , ,"9684128", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I4H0010[00100]","I4H0010[00200]","I4H0010[00300]", ,"I4H0010[00500]", , , , , , , , , , , , , , 
 ,"2750","272092","99", ,"199661", , , , , , , , , , , , , , 
 , ,"1019604", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"2750","1291696", , ,"199661", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"I500000[00100]","I500000[00200]", , , , , , , , , , , , , , , , , 
 ,"9883789", , , , , , , , , , , , , , , , , , 
 ,"930997","930997", , , , , , , , , , , , , , , , , 
 ,"10949999","10949999", , , , , , , , , , , , , , , , , 
 ,"11880996","11880996", , , , , , , , , , , , , , , , , 
 ,"31753", , , , , , , , , , , , , , , , , , 
 ,"3582","3582", , , , , , , , , , , , , , , , , 
 ,"3582","3582", , , , , , , , , , , , , , , , , 
 ,"186199","186199", , , , , , , , , , , , , , , , , 
 ,"2189287","2189287", , , , , , , , , , , , , , , , , 
 ,"2375486","2375486", , , , , , , , , , , , , , , , , 
 , ,"2379068", , , , , , , , , , , , , , , , , 
 , ,"9501931", , , , , , , , , , , , , , , , , 
 ,"15290891", , , , , , , , , , , , , , , , , , 
 ,"15290891", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
