 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H11002*[00100]","H11002*[00200]","H11002*[00300]","H11002*[00400]","H11002*[00500]", , , , , , , , , , , , , , 
 ,"CAPITAL","CAPITAL","PLANT","TRANS-","ADMINIS-", , , , , , , , , , , , , , 
 ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","TRATIVE &", , , , , , , , , , , , , , 
 ,"FIXTURES","EQUIPMENT","MAINT.","ION","GENERAL", , , , , , , , , , , , , , 
 ,"SQUARE","DOLLAR","SQUARE","MILEAGE","ACCUM.", , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H210001[00000]","H210001[00100]","H210001[00200]", ,"H210001[00400]", ,"H210001[00600]","H210001[00700]", , , ,"H210001[01100]", ,"H210001[01300]","H210001[01400]", ,"H210001[01600]", ,"H210001[01800]", , , , , ,"H210001[02400]", ,"H210001[02600]","H210001[02700]","H210001[02800]"
 ,"225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719", , , , , ,"7723557", ,"7723557"
"4525264", , , , , , , , , , , , , , , , , , , , , , , ,"4861731", ,"4861731","1021484","5883215"
"2763517", , , , , , , , , , , , , , , , , , , , , , , ,"2968993", ,"2968993","623806","3592799"
"458397", , , , , , , , , , , , , , , , , , , , , , , ,"492480", ,"492480","103473","595953"
"105770", , , , , , , , , , , , , , , , , , , , , , , ,"113634", ,"113634","23875","137509"
"161388", , , , , , , , , , , , , , , , , , , , , , , ,"173388", ,"173388","36430","209818"
"353324", , , , , , , , , , , , , , , , , , , , , , , ,"379595", ,"379595","79756","459351"
"6057541", , , , , , , , , , , , , , , , , , , , , , , ,"6507937", ,"6507937","1367363","7875300"
"19790803", , , , , , , , , , , , , , , , , , , , , , , ,"21262309", ,"21262309","4467370","25729679"
"34216004","225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719", , , , , ,"44483624", ,"44483624","7723557","44483624"
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H210002[00100]","H210002[00200]", ,"H210002[00400]", ,"H210002[00600]","H210002[00700]", , , ,"H210002[01100]", ,"H210002[01300]","H210002[01400]", ,"H210002[01600]", ,"H210002[01800]", 
 ,"23805","190884", ,"19125483", ,"23805","23805", , , ,"310", ,"63","171909", ,"79074743", ,"79074743", 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 ,"23805","190884", ,"19125483", ,"23805","23805", , , ,"310", ,"63","171909", ,"79074743", ,"79074743", 
 ,"225055","266881", ,"4402629", ,"155072","497562", , , ,"72251", ,"558578","113027", ,"135376", ,"37719", 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H310181[00100]","H310181[00200]","H310181[00300]","H310181[00400]","H310181[00500]","H310181[00600]","H310181[00700]", ,"H310181[00900]","H310181[01000]", ,"H310181[01200]", , , , , , , 
 ,"5883215", ,"5883215","34544","170","7081","6505", ,"1205965","1107867", ,"2313832", , , , , , , 
 ,"3592799", ,"3592799","20275","177","4076","4284", ,"722267","759125", ,"1481392", , , , , , , 
 ,"595953", ,"595953","3316","180","1004","888", ,"180439","159591", ,"340030", , , , , , , 
 ,"137509", ,"137509","600","229","184","89", ,"42169","20397", ,"62566", , , , , , , 
 ,"209818", ,"209818","656","320","166","172", ,"53093","55012", ,"108105", , , , , , , 
 ,"459351", ,"459351","7354","62","1361","2595", ,"85008","162084", ,"247092", , , , , , , 
 ,"10878645", ,"10878645","66745", ,"13872","14533", ,"2288941","2264076", ,"4553017", , , , , , , 
 ,"11300","170","159", , , , , , , , , , , , , , , , 
 ,"14020","67","64", , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","2376","2283", , , , , , , , , , , , , , , , 
 ,"29020","360","288", , , , , , , , , , , , , , , , 
 ,"29140","808","720", , , , , , , , , , , , , , , , 
 ,"34620","1668","1115", , , , , , , , , , , , , , , , 
 ,"43780","7", , , , , , , , , , , , , , , , , 
 ,"99915","1625","1876", , , , , , , , , , , , , , , , 
 ,"11300","169","102", , , , , , , , , , , , , , , , 
 ,"14020","47","24", , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","1456","1847", , , , , , , , , , , , , , , , 
 ,"29020","295","305", , , , , , , , , , , , , , , , 
 ,"29140","616","666", , , , , , , , , , , , , , , , 
 ,"34620","585","332", , , , , , , , , , , , , , , , 
 ,"43780","10", , , , , , , , , , , , , , , , , 
 ,"99915","898","1008", , , , , , , , , , , , , , , , 
 ,"11300","12","7", , , , , , , , , , , , , , , , 
 ,"14020","4","14", , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","448","470", , , , , , , , , , , , , , , , 
 ,"29020","42","78", , , , , , , , , , , , , , , , 
 ,"29140","49","58", , , , , , , , , , , , , , , , 
 ,"34620","276","65", , , , , , , , , , , , , , , , 
 ,"43780","5", , , , , , , , , , , , , , , , , 
 ,"99915","168","196", , , , , , , , , , , , , , , , 
 ,"11300", , , , , , , , , , , , , , , , , , 
 ,"14020", , , , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","95","53", , , , , , , , , , , , , , , , 
 ,"29020","26", , , , , , , , , , , , , , , , , 
 ,"29140","16","16", , , , , , , , , , , , , , , , 
 ,"34620","22","10", , , , , , , , , , , , , , , , 
 ,"43780", , , , , , , , , , , , , , , , , , 
 ,"99915","25","10", , , , , , , , , , , , , , , , 
 ,"11300","1","1", , , , , , , , , , , , , , , , 
 ,"14020","3","3", , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","110","110", , , , , , , , , , , , , , , , 
 ,"29020","1","7", , , , , , , , , , , , , , , , 
 ,"29140","4","11", , , , , , , , , , , , , , , , 
 ,"34620","20","9", , , , , , , , , , , , , , , , 
 ,"43780", , , , , , , , , , , , , , , , , , 
 ,"99915","27","31", , , , , , , , , , , , , , , , 
 ,"11300","44","413", , , , , , , , , , , , , , , , 
 ,"14020","23","73", , , , , , , , , , , , , , , , 
 ,"23844", , , , , , , , , , , , , , , , , , 
 ,"26900","449","400", , , , , , , , , , , , , , , , 
 ,"29020","124","303", , , , , , , , , , , , , , , , 
 ,"29140","89","159", , , , , , , , , , , , , , , , 
 ,"34620","287","529", , , , , , , , , , , , , , , , 
 ,"43780","8", , , , , , , , , , , , , , , , , 
 ,"99915","337","718", , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H310182[00100]", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H410181[00100]","H410181[00200]", , , , , , , , , , , , , , , , , 
 ,"2774417","2738865", , , , , , , , , , , , , , , , , 
 ,"2774417","2738865", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"H410182[00100]","H410182[00200]", , , , , , , , , , , , , , , , , 
 ,"2175844","2179946", , , , , , , , , , , , , , , , , 
 ,"40288","30068", , , , , , , , , , , , , , , , , 
 ,"50303","71354", , , , , , , , , , , , , , , , , 
 ,"38375","32235", , , , , , , , , , , , , , , , , 
 ,"5878","6237", , , , , , , , , , , , , , , , , 
 ,"524","355", , , , , , , , , , , , , , , , , 
 ,"2311212","2320195", , , , , , , , , , , , , , , , , 
 ,"2311212","2320195", , , , , , , , , , , , , , , , , 
 ,"2311212","2320195", , , , , , , , , , , , , , , , , 
 ,"2311212","2320195", , , , , , , , , , , , , , , , , 
 ,"2311212","2320195", , , , , , , , , , , , , , , , , 
 ,"30944","35827", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
"H510000[00000]","H510000[00100]","H510000[00200]", ,"H510000[00400]", , , , , , , , , , , , , , , 
 , ,"2280268", ,"2284368", , , , , , , , , , , , , , , 
 , ,"2280268", ,"2284368", , , , , , , , , , , , , , , 
 , ,"2280268", , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
